
Method, Object, ChamferDistance, Scale
bbox, bottle-dettol_washing_machine, 6.020472440419957216e-01, (0.9951 0.9951 0.9951)
bbox, cup-stanford, 3.914047708625751909e-01, (0.9951 0.9951 0.9951)
bbox, cutlery-fork_1, 3.277101279936258105e-01, (0.9281 0.9281 0.9281)
bbox, remote-black, 3.909097185207094149e+00, (0.9281 0.9281 0.9281)

focus1, bottle-dettol_washing_machine, 6.020472440419957216e-01, (0.9281 0.9281 0.9281)
focus1, cup-stanford, 3.622671608716249159e-01, (1.0704 1.0704 1.0704)
focus1, cutlery-fork_1, 3.294510151790369656e-01, (0.9294 0.9294 0.9294)
focus1, remote-black, 3.823436974442609326e+00, (0.9584 0.9584 0.9584)

focus2, bottle-dettol_washing_machine, 6.020472440419957216e-01, (0.9584 0.9584 0.9584)
focus2, cup-stanford, 3.914048828197248531e-01, (1.0860 1.0860 1.0860)
focus2, cutlery-fork_1, 3.226785816442332422e-01, (0.9185 0.9185 0.9185)
focus2, remote-black, 3.776553750752436489e+00, (0.9482 0.9482 0.9482)

focus3, bottle-dettol_washing_machine, 6.020472440419957216e-01, (0.9482 0.9482 0.9482)
focus3, cup-stanford, 3.627465988320185408e-01, (1.0704 1.0704 1.0704)
focus3, cutlery-fork_1, 3.226785816442332422e-01, (1.1108 1.1108 1.1108)
focus3, remote-black, 3.776553750752436489e+00, (1.1108 1.1108 1.1108)

